Label,GIF,LabelFull,Supra/Infra,CSF/Corte,LR,LobesNoLR,LobesLR,SubLobes
LH Posterior Cingulate,140,1023,Supra Tentorial,Cortex,Cortex Left,Cingulate,,Middle
LH Precentral,184,1024,Supra Tentorial,Cortex,Cortex Left,Frontal Lobe,,Motor
LH Precuneus,170,1025,Supra Tentorial,Cortex,Cortex Left,Parietal Lobe,,Medial Parietal
LH Rostral Anterior Cingulate,102,1026,Supra Tentorial,Cortex,Cortex Left,Cingulate,,Anterior
LH Rostral Middle Frontal,144,1027,Supra Tentorial,Cortex,Cortex Left,Frontal Lobe,,Dlpfc
LH Superior Frontal,192 194 154,1028,Supra Tentorial,Cortex,Cortex Left,Frontal Lobe,,Vmpfc / Motor
LH Superior Parietal,198 200,1029,Supra Tentorial,Cortex,Cortex Left,Parietal Lobe,,Lateral Parietal
LH Superior temporal,182 186 202 ,1030,Supra Tentorial,Cortex,Cortex Left,Temporal Lobe,,Supratemp
LH Supramarginal,196,1031,Supra Tentorial,Cortex,Cortex Left,Parietal Lobe,,Lateral Parietal
LH Frontal pole,122,1032,Supra Tentorial,Cortex,Cortex Left,Frontal Lobe,,Frontal Pole
LH temporal pole,204,1033,Supra Tentorial,Cortex,Cortex Left,Temporal Lobe,,Temporal Pole
LH transverse temporal,208,1034,Supra Tentorial,Cortex,Cortex Left,Temporal Lobe,,Supratemp
LH Insula,104 114 174 176,1035,Supra Tentorial,Cortex,Cortex Left,Insula,,Posterior
RH Unknown,,2000,Supra Tentorial,Cortex,Cortex Right,,,
RH Bankssts,,2001,Supra Tentorial,Cortex,Cortex Right,,,
RH Caudal Anterior Cingulate,139,2002,Supra Tentorial,Cortex,Cortex Right,Cingulate,,Middle
RH Caudal Middle Frontal,143,2003,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Dlpfc
RH Cuneus,115,2005,Supra Tentorial,Cortex,Cortex Right,Occipital Lobe,,Medial Occipital
RH Entorhinal,117,2006,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe,,Medial Temporal
RH Fusiform,123,2007,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe ,,Medial Temporal
RH Inferior Parietal,107 145,2008,Supra Tentorial,Cortex,Cortex Right,Parietal Lobe,,Lateral Parietal
RH Inferior Temporal,133,2009,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe,,Lateral Temporal
RH Isthmus Cingulate,167,2010,Supra Tentorial,Cortex,Cortex Right,Cingulate,,Posterior
RH Lateral Occipital,129 157 161,2011,Supra Tentorial,Cortex,Cortex Right,Occipital Lobe,,Lateral Occipital
RH Orbital ,147 179,2012,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Orbitofrontal
RH Lingual,135,2013,Supra Tentorial,Cortex,Cortex Right,Occipital Lobe,,Medial Occipital
