Name,Label_Full,1 - Supra/Infra Tentorial,Label_1,2 - CSF/Cortex/BasalGanglia/WM,Label_2,3- L/R,Label_3,34-Lobes,Label_34,4- Lobes,Label_4,5- Sub-Lobes,Label_5,6 - All
Right Occipital White Matter,85,1,Supra Tentorial,7,WM,10,WM Right,12,WM Occipital,10,WM Right,12,WM Right,25
Right Parietal White Matter,86,1,Supra Tentorial,7,WM,10,WM Right,13,WM Parietal,10,WM Right,12,WM Right,26
Corpus Callosum,87,1,Supra Tentorial,7,WM,12,WM Mid,14,WM Mid,11,WM Mid,13,WM Mid,27
Left Temporal White Matter,89,1,Supra Tentorial,7,WM,11,WM Left,8,WM Temporal,12,WM Left,14,WM Left,28
Left Insula White Matter,90,1,Supra Tentorial,7,WM,11,WM Left,9,WM Insula,12,WM Left,14,WM Left,29
Left Cingulate White Matter,91,1,Supra Tentorial,7,WM,11,WM Left,10,WM Cingulate,12,WM Left,14,WM Left,30
Left Frontal White Matter,92,1,Supra Tentorial,7,WM,11,WM Left,11,WM Frontal,12,WM Left,14,WM Left,31
Left Occipital White Matter,93,1,Supra Tentorial,7,WM,11,WM Left,12,WM Occipital,12,WM Left,14,WM Left,32
Left Parietal White Matter,94,1,Supra Tentorial,7,WM,11,WM Left,13,WM Parietal,12,WM Left,14,WM Left,33
Right Claustrum,96,1,Supra Tentorial,3,Basal Ganglia,3,Basal Ganglia Right,3,Basal Ganglia ,3,Striatum Right,22,Diencephalon,34
Left Claustrum,97,1,Supra Tentorial,3,Basal Ganglia,4,Basal Ganglia Left,3,Basal Ganglia,4,Striatum Left,41,Diencephalon,35
Right ACgG anterior cingulate gyrus,101,1,Supra Tentorial,4,Cortex,5,Cortex Right,15,Cingulate,19,Right Cingulate,29,Anterior,55
Left ACgG anterior cingulate gyrus,102,1,Supra Tentorial,4,Cortex,6,Cortex Left,15,Cingulate,25,Left Cingulate,48,Anterior,56
Right Alns anterior insula,103,1,Supra Tentorial,4,Cortex,5,Cortex Right,17,Insula,20,Right Insula,32,Anterior,57
