Name,Label,1,2,3,4,5,6
Left Pins posterior insula,174,1,4,6,26,52,120
Right PO parietal operculum,175,1,4,5,17,25,121
Left PO parietal operculum,176,1,4,6,23,44,122
Right PoG postcentral gyrus,177,1,4,5,17,26,123
Left PoG postcentral gyrus,178,1,4,6,23,45,124
Right POrG posterior orbital gyrus,179,1,4,5,15,15,125
Left POrG posterior orbital gyrus,180,1,4,6,21,34,126
Right PP planum polare,181,1,4,5,16,23,127
Left PP planum polare,182,1,4,6,22,42,128
Right PrG precentral gyrus,183,1,4,5,15,18,129
Left PrG precentral gyrus,184,1,4,6,21,37,130
Right PT planum temporale,185,1,4,5,16,23,131
Left PT planum temporale,186,1,4,6,22,42,132
Right SCA subcallosal area,187,1,4,5,15,17,133
Left SCA subcallosal area,188,1,4,6,21,36,134
Right SFG superior frontal gyrus,191,1,4,5,15,16,135
Left SFG superior frontal gyrus,192,1,4,6,21,35,136
Right SMC supplementary motor cortex,193,1,4,5,15,18,137
Left SMC supplementary motor cortex,194,1,4,6,21,37,138
Right SMG supramarginal gyrus,195,1,4,5,17,25,139
Left SMG supramarginal gyrus,196,1,4,6,23,44,140
Right SOG superior occipital gyrus,197,1,4,5,18,28,141
Left SOG superior occipital gyrus,198,1,4,6,24,47,142
Right SPL superior parietal lobule,199,1,4,5,17,25,143
Left SPL superior parietal lobule,200,1,4,6,23,44,144
Right STG superior temporal gyrus,201,1,4,5,16,21,145
Left STG superior temporal gyrus,202,1,4,6,22,40,146
Right TMP temporal pole,203,1,4,5,16,22,147
Left TMP temporal pole,204,1,4,6,22,41,148
Right TrIFG triangular part of the inferior frontal gyrus,205,1,4,5,15,16,149
Left TrIFG triangular part of the inferior frontal gyrus,206,1,4,6,21,35,150
Right TTG transverse temporal gyrus,207,1,4,5,16,23,151
Left TTG transverse temporal gyrus,208,1,4,6,22,42,152
